Metabolite 1,Metabolite 2,VECPAC r,VECPAC p-values,VECPAC_n,DSS r,DSS p-values,DSS_n,LPS r,LPS p-values,LPS_n,Consistent?,Meta-analysis_validity,Meta-Analysis p-value,meta_r,edge_dir,FDR
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","1,2-Benzenedicarboxylic acid",,,0,-0.719819635,0.012500905,11,-1.0,0.0,4,False,True,0.0,-0.859909818,-1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","2,5-di-tert-Butyl-1,4-benzoquinone",,,0,0.738095238,0.036552761,8,1.0,0.0,3,False,True,0.0,0.869047619,1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",3-Amino-5-morpholinomethyl-2-oxazolidinone,,,0,-0.771428571,0.072396501,6,-1.0,0.0,4,False,True,0.0,-0.885714286,-1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",3-Methylvaleric acid,,,0,-0.818181818,0.002083145,11,-0.8,0.2,4,False,True,0.007586861,-0.809090909,-1,0.039393781
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",,,0,0.815491865,0.002216292,11,1.0,0.0,3,False,True,0.0,0.907745933,1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",4-Hydroxyphenyllactic acid,,,0,0.466666667,0.173938597,10,1.0,0.0,4,False,True,0.0,0.733333333,1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",,,0,0.753144668,0.019141959,9,1.0,0.0,3,False,True,0.0,0.876572334,1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","D-Psicofuranose, pentakis",,,0,-0.771140308,0.025059027,8,-1.0,0.0,4,False,True,0.0,-0.885570154,-1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",Ethanolamine,,,0,0.470324538,0.144318579,11,1.0,0.0,4,False,True,0.0,0.735162269,1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","Guanidine, N,N-dimethyl-",,,0,-0.419135484,0.199439119,11,-1.0,0.0,4,False,True,0.0,-0.709567742,-1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",L-Proline,,,0,0.744387368,0.008600892,11,1.0,0.0,3,False,True,0.0,0.872193684,1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",N-alpha-Acetyl-L-Lysine,,,0,0.7,0.188120404,5,1.0,0.0,3,False,True,0.0,0.85,1,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",N-Valerylglycine,,,0,0.753802874,0.011794786,10,1.0,0.0,3,False,True,0.0,0.876901437,1,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",(pm)-alpha-Tocopherol acetate,1.0,0.0,3,0.742598738,0.008849987,11,,,0,False,True,0.0,0.871299369,1,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","(R*,S*)-2,3-Dihydroxybutanoic acid",0.904761905,0.002008276,8,0.81167945,0.049857585,6,,,0,False,True,0.006197265,0.858220677,1,0.033466051
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Cyclopentylethanol,0.552223371,0.017486359,18,0.598813131,0.116753544,8,,,0,False,True,0.009266063,0.575518251,1,0.046139454
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Deoxypentitol,0.402425823,0.153719121,14,1.0,0.0,3,,,0,False,True,0.0,0.701212912,1,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Monoacetin,0.637347017,0.010596114,15,0.50913242,0.109703414,11,,,0,False,True,0.006738741,0.573239719,1,0.03575339
