n1,n2,edge_dir
Gas6,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1
Dlgap4,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1
Dlgap4,Dodecylcyclohexane,-1
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Iba57,-1
Hmga1,(CH3)2C=NC2H558,1
Rai14,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",-1
Trpc4ap,2-Hydroxybutyric acid,1
Trpc4ap,Octan-2-yl palmitate,1
Trpc4ap,Xylazine,-1
Eipr1,1-Cyclopentylethanol,-1
Eipr1,Dehydronorketamine,-1
Eipr1,Heptadecanoic acid,-1
Eipr1,Indole-5-carboxylic acid,-1
Cmtm8,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1
Cmtm8,"Propanoic acid, 2-methyl-",-1
Rplp1,Indole-5-carboxylic acid,-1
Aox3,1-(3-Methylphenyl)piperazine,1
1-(3-Methylphenyl)piperazine,Tulp4,1
1-(3-Methylphenyl)piperazine,Hip1,1
1-(3-Methylphenyl)piperazine,Spata13,-1
Tulp4,"Benzoic acid, pentadecyl ester",1
Spata13,12-Oxooctadecanoate,-1
Spata13,Tributyl acetylcitrate,1
Strada,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",1
Strada,Propylamine,1
Cebpd,1-Aminocyclopropanecarboxylic acid,-1
Cebpd,2-Hydroxy-3-methylbutyric acid,-1
Cebpd,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",-1
Cebpd,Acetoacetic acid,-1
Ddb1,"1-Butanamine, N,N-diethyl-",-1
"1-Butanamine, N,N-diethyl-",Igfbp2,-1
"1-Butanamine, N,N-diethyl-",Mfge8,-1
"1-Butanamine, N,N-diethyl-",Gprc5c,-1
"1-Butanamine, N,N-diethyl-",Pi4ka,-1
"1-Butanamine, N,N-diethyl-",Imp3,-1
Mfge8,12-Oxooctadecanoate,-1
Mfge8,Nitrosothymol,-1
Pi4ka,Nonadecanoic acid,-1
Imp3,1-Cyclopentylethanol,-1
1-Cyclopentylethanol,Ubc,-1
Tada1,"1-Decene, 8-methyl-",-1
Tada1,Benzophenone,-1
"1-Decene, 8-methyl-",Haus4,1
Mrps5,alpha-Linolenic acid,-1
1-Deoxypentitol,Wbp11,1
1-Deoxypentitol,Dctn2,-1
1-Deoxypentitol,Dnajc7,-1
1-Deoxypentitol,Ndufs3,1
1-Deoxypentitol,Ubl3,1
1-Deoxypentitol,Eif3h,-1
1-Deoxypentitol,Opa1,1
1-Deoxypentitol,Fzr1,-1
1-Deoxypentitol,Tmem184c,1
Wbp11,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1
Wbp11,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
Wbp11,"6,7,4'-Trihydroxyisoflavone",1
Wbp11,"Benzoic acid, pentadecyl ester",1
Wbp11,Cadaverine,1
Wbp11,D-(-)-Citramalic acid,1
Wbp11,Dinoseb ,1
Wbp11,DL-Glyceraldehyde,1
Wbp11,Isofucosterol,1
Wbp11,Methyl aminoacetate,1
Wbp11,"N,O-Bis(trimethylsilyl)carbamate",1
Wbp11,Nonadecanoic acid,1
Wbp11,p-Toluic acid,1
Wbp11,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1
Dctn2,"Benzoic acid, pentadecyl ester",-1
Dctn2,beta-Lyxopyranose,-1
Dnajc7,"3-Hydroxy-2,3-dihydromaltol",-1
Dnajc7,4-Hydroxybenzeneacetic acid,-1
Dnajc7,"Dodecane, 4,6-dimethyl-",-1
Dnajc7,Triethanolamine,-1
Ndufs3,"Benzaldehyde, 2,5-dimethyl-",1
Ndufs3,Isofucosterol,1
Ndufs3,Methyl aminoacetate,1
Ndufs3,"Stigmast-5-ene, 3beta-",1
Ubl3,"1,3,5-Benzetriol",1
Ubl3,"2,3,4-Trihydroxybutyric acid tetrakis",1
Ubl3,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1
Ubl3,"3-Hydroxy-2,3-dihydromaltol",1
Ubl3,4-Hydroxybenzeneacetic acid,1
Ubl3,beta-Lyxopyranose,1
Ubl3,Dinoseb ,1
Ubl3,Isofucosterol,1
Ubl3,Isopropyl palmitate,1
Ubl3,Methyl aminoacetate,1
Ubl3,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1
Ubl3,Propylamine,1
Ubl3,Tartronic acid,1
Ubl3,Triethanolamine,1
Eif3h,"Dodecane, 4,6-dimethyl-",-1
Opa1,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1
Opa1,beta-Lyxopyranose,1
Opa1,Isofucosterol,1
Opa1,"N,O-Bis(trimethylsilyl)carbamate",1
Opa1,p-Toluic acid,1
Opa1,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1
Opa1,Triethanolamine,1
Bnip1,"Benzoic acid, methyl ester",1
Fzr1,"2,4-Imidazolidinedione, 5,5-dimethyl-",-1
Fzr1,Nitrosothymol,-1
Tmem184c,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
Tmem184c,cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,1
Tmem184c,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1
Tmem184c,Triethanolamine,1
Apc2,1-Hexadecanol,1
Apc2,"1,2-Benzenedicarboxylic acid",1
Apc2,Decanoic acid,1
Apc2,Dihydrouracil,-1
Apc2,Ethanolamine,-1
Apc2,Glyceric acid,-1
Apc2,L-Isoleucine,-1
Apc2,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",-1
1-Hexadecanol,Kpna4,-1
Gm43339,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Por,-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Lpgat1,-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Tmem204,-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Aqp11,-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Col8a1,-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Ric3,-1
