n1,n2,edge_dir
Gas6,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",(pm)-alpha-Tocopherol acetate,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","(R*,S*)-2,3-Dihydroxybutanoic acid",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Cyclopentylethanol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Deoxypentitol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Monoacetin,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",10-Heptadecenoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-(Decanoyloxy)propane-1,3-diyl dioctanoate",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Ethyl-3-hydroxypropionic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Hydroxy-2-methylbutyric acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Methyl-4-pentenoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Propanone, bis(1-methylethyl)hydrazone",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",3-Hexenedinitrile,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",5-Hydroxyquinoline,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Aceturic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",alpha-Tocopherol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Benzimidazole, 5-trifluoromethyl-2-methyl-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Benzoic acid, pentadecyl ester",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Benzophenone,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol", 5-Hydroxyhexanoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Cyclohexanol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Diphenyl ether,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",DL-Glyceraldehyde,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Glyoxime,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Isofucosterol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Methyl aminoacetate,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Niclosamide,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Nonadecanoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Nonanal,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Phloroglucinol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Tartronic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Triethanolamine,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",1
Dlgap4,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1
Dlgap4,Dodecylcyclohexane,-1
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Iba57,-1
Hmga1,(CH3)2C=NC2H558,1
(CH3)2C=NC2H558,2-Hydroxy-5-methoxybenzaldehyde,1
(CH3)2C=NC2H558,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1
(CH3)2C=NC2H558,4-Methylvaleric acid,1
(CH3)2C=NC2H558,"Benzoic acid, methyl ester",1
Rai14,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",-1
Trpc4ap,2-Hydroxybutyric acid,1
Trpc4ap,Octan-2-yl palmitate,1
Trpc4ap,Xylazine,-1
Eipr1,1-Cyclopentylethanol,-1
Eipr1,Dehydronorketamine,-1
Eipr1,Heptadecanoic acid,-1
Eipr1,Indole-5-carboxylic acid,-1
Cmtm8,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1
Cmtm8,"Propanoic acid, 2-methyl-",-1
Rplp1,Indole-5-carboxylic acid,-1
Aox3,1-(3-Methylphenyl)piperazine,1
1-(3-Methylphenyl)piperazine,Tulp4,1
1-(3-Methylphenyl)piperazine,Hip1,1
1-(3-Methylphenyl)piperazine,Spata13,-1
1-(3-Methylphenyl)piperazine,1-(4-Hydroxybenzylidene)acetone,1
1-(3-Methylphenyl)piperazine,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1
1-(3-Methylphenyl)piperazine,Benzophenone,1
1-(3-Methylphenyl)piperazine,Phlorizin,1
Tulp4,"Benzoic acid, pentadecyl ester",1
Spata13,12-Oxooctadecanoate,-1
