n1,n2,edge_dir,,node1,node2,n3,,n1_same,n2_same,edge_same
 5-Hydroxyhexanoic acid,(pm)-alpha-Tocopherol acetate,1,, 5-Hydroxyhexanoic acid,(pm)-alpha-Tocopherol acetate,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,1-Phenylethanol,-1,, 5-Hydroxyhexanoic acid,1-Phenylethanol,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,10-Heptadecenoic acid,1,, 5-Hydroxyhexanoic acid,10-Heptadecenoic acid,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,"5-Androsten-17alpha-methyl-3beta,17beta-diol",1,, 5-Hydroxyhexanoic acid,"5-Androsten-17alpha-methyl-3beta,17beta-diol",,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,5-Hydroxyquinoline,1,, 5-Hydroxyhexanoic acid,5-Hydroxyquinoline,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,7-(Trimethylsilyl)amino-4-methylcoumarin,1,, 5-Hydroxyhexanoic acid,7-(Trimethylsilyl)amino-4-methylcoumarin,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,Aceturic acid,1,, 5-Hydroxyhexanoic acid,Aceturic acid,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,"Benzaldehyde, 2,5-dimethyl-",1,, 5-Hydroxyhexanoic acid,"Benzaldehyde, 2,5-dimethyl-",,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,Benzeneacetic acid,1,, 5-Hydroxyhexanoic acid,Benzeneacetic acid,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",1,, 5-Hydroxyhexanoic acid,"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1,, 5-Hydroxyhexanoic acid,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,1,, 5-Hydroxyhexanoic acid,cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,Cyclobutanol,1,, 5-Hydroxyhexanoic acid,Cyclobutanol,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,"Cyclopentanone, 2,2,4-trimethyl-",1,, 5-Hydroxyhexanoic acid,"Cyclopentanone, 2,2,4-trimethyl-",,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,DL-Glyceraldehyde,1,, 5-Hydroxyhexanoic acid,DL-Glyceraldehyde,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,Metanephrine,1,, 5-Hydroxyhexanoic acid,Metanephrine,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,"Propanetriol, 2-methyl-",1,, 5-Hydroxyhexanoic acid,"Propanetriol, 2-methyl-",,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,Tartronic acid,1,, 5-Hydroxyhexanoic acid,Tartronic acid,,,TRUE,TRUE,TRUE
 5-Hydroxyhexanoic acid,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1,, 5-Hydroxyhexanoic acid,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",,,TRUE,TRUE,TRUE
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","1,2-Benzenedicarboxylic acid",-1,,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","1,2-Benzenedicarboxylic acid",1,,TRUE,TRUE,TRUE
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",4-Hydroxyphenyllactic acid,1,,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",4-Hydroxyphenyllactic acid,,,TRUE,TRUE,TRUE
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",Ethanolamine,1,,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",Ethanolamine,,,TRUE,TRUE,TRUE
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",N-Valerylglycine,1,,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",N-Valerylglycine,,,TRUE,TRUE,TRUE
