node,node_dir
ENSMUSG00000031451-P,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-1.0
ENSMUSG00000042010-P,1.0
ENSMUSG00000038545-P,1.0
ENSMUSG00000048612-P,-1.0
ENSMUSG00000052584-P,1.0
ENSMUSG00000061689-P,1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1.0
ENSMUSG00000049287-P,1.0
ENSMUSG00000046711-P,1.0
(CH3)2C=NC2H558,1.0
(CH3)2C=NC2H558,1.0
ENSMUSG00000022246-P,-1.0
ENSMUSG00000038324-P,1.0
ENSMUSG00000036613-P,1.0
ENSMUSG00000041012-P,-1.0
ENSMUSG00000007892-P,1.0
ENSMUSG00000026341-P,-1.0
ENSMUSG00000064294-P,-1.0
1-(3-Methylphenyl)piperazine,-1.0
1-(3-Methylphenyl)piperazine,-1.0
ENSMUSG00000034377-P,-1.0
ENSMUSG00000039959-P,-1.0
ENSMUSG00000021990-P,1.0
ENSMUSG00000069631-P,-1.0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0
ENSMUSG00000028811-P,1.0
ENSMUSG00000071637-P,1.0
1-Aminocyclopropanecarboxylic acid,-1.0
1-Aminocyclopropanecarboxylic acid,-1.0
ENSMUSG00000024740-P,1.0
"1-Butanamine, N,N-diethyl-",-1.0
"1-Butanamine, N,N-diethyl-",-1.0
ENSMUSG00000030703-P,1.0
ENSMUSG00000039323-P,1.0
ENSMUSG00000030605-P,1.0
ENSMUSG00000051043-P,1.0
ENSMUSG00000041720-P,1.0
ENSMUSG00000032288-P,1.0
1-Cyclopentylethanol,-1.0
1-Cyclopentylethanol,-1.0
ENSMUSG00000008348-P,1.0
ENSMUSG00000026563-P,1.0
"1-Decene, 8-methyl-",-1.0
"1-Decene, 8-methyl-",-1.0
ENSMUSG00000022177-P,-1.0
ENSMUSG00000027374-P,-1.0
1-Deoxypentitol,-1.0
1-Deoxypentitol,-1.0
ENSMUSG00000030216-P,-1.0
ENSMUSG00000025410-P,1.0
ENSMUSG00000014195-P,1.0
ENSMUSG00000005510-P,-1.0
ENSMUSG00000001687-P,-1.0
ENSMUSG00000022312-P,1.0
ENSMUSG00000038084-P,-1.0
ENSMUSG00000024191-P,1.0
ENSMUSG00000020235-P,1.0
ENSMUSG00000031617-P,-1.0
ENSMUSG00000020135-P,1.0
1-Hexadecanol,1.0
1-Hexadecanol,1.0
ENSMUSG00000027782-P,-1.0
ENSMUSG00000105382-P,-1.0
1-Hydroxy-3-methoxy-6-methylanthraquinone,1.0
1-Hydroxy-3-methoxy-6-methylanthraquinone,1.0
ENSMUSG00000005514-P,-1.0
