n1,node_cleaned,node_dir,,Name,
1-Dodecanol,1-Dodecanol,-1,,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol","(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol"
1-Hexacosene,1-Hexacosene,-1,,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile"
1-Hexanol,1-Hexanol,1,,1-Dodecanol,1-Dodecanol
1-Monopalmitin,1-Monopalmitin,1,,1-Hexacosene,1-Hexacosene
1-Octadecanol,1-Octadecanol,-1,,1-Hexanol,1-Hexanol
1-Octanol,1-Octanol,1,,1-Methyl-4-hydroxy-1H-imidazol-2-amine,1-Methyl-4-hydroxy-1H-imidazol-2-amine
"1-Propanamine, N,N-diethyl-","1-Propanamine, N,N-diethyl-",-1,,1-Monopalmitin,1-Monopalmitin
1-Tetracosene,1-Tetracosene,-1,,1-Octadecanol,1-Octadecanol
1-Tetradecanol,1-Tetradecanol,-1,,1-Octanol,1-Octanol
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-","1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1,,"1-Propanamine, N,N-diethyl-","1-Propanamine, N,N-diethyl-"
"1,4-Butanediol","1,4-Butanediol",1,,1-Tetradecanol,1-Tetradecanol
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-1,,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-","1,3-Dioxane, 2,2-dimethyl-5-hydroxy-"
12-Oxooctadecanoate,12-Oxooctadecanoate,1,,"1,4-Butanediol","1,4-Butanediol"
13-Docosenamide,13-Docosenamide,-1,,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","1,7-Dimethyl-4-(1-methylethyl)cyclodecane"
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",-1,,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol
"2-Allyl-1,4-dimethoxybenzene","2-Allyl-1,4-dimethoxybenzene",-1,,12-Oxooctadecanoate,12-Oxooctadecanoate
2-Aminobutanoic acid,2-Aminobutanoic acid,-1,,13-Docosenamide,13-Docosenamide
"2-Butenoic acid, 2-hydroxy-","2-Butenoic acid, 2-hydroxy-",-1,,17-alpha-Hydroxypregnenolone,17-alpha-Hydroxypregnenolone
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1,,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)"
2-Ethylacetoacetate,2-Ethylacetoacetate,-1,,"2-Allyl-1,4-dimethoxybenzene ","2-Allyl-1,4-dimethoxybenzene"
2-Ethylhexanoic acid,2-Ethylhexanoic acid,-1,,2-Aminobutanoic acid,2-Aminobutanoic acid
"2-Furanacetaldehyde, tetrahydro-alpha","2-Furanacetaldehyde, tetrahydro-alpha",1,,"2-Butenoic acid, 2-hydroxy-","2-Butenoic acid, 2-hydroxy-"
2-Hydroxy-3-methylbutyric acid,2-Hydroxy-3-methylbutyric acid,-1,,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester"
"2-Pentenedioic acid, 2-hydroxy-","2-Pentenedioic acid, 2-hydroxy-",-1,,2-Ethylacetoacetate,2-Ethylacetoacetate
2-Piperidinone,2-Piperidinone,-1,,2-Ethylhexanoic acid,2-Ethylhexanoic acid
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)","2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1,,"2-Furanacetaldehyde, tetrahydro-alpha","2-Furanacetaldehyde, tetrahydro-alpha"
2-Pyrrolidinone,2-Pyrrolidinone,-1,,2-Hydroxy-3-methylbutyric acid,2-Hydroxy-3-methylbutyric acid
"2,3-Butanediol","2,3-Butanediol",-1,,2-Palmitoylglycerol,2-Palmitoylglycerol
"2,3,4-Trihydroxybutyric acid","2,3,4-Trihydroxybutyric acid",-1,,2-Pentenedioic acid,2-Pentenedioic acid
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone","2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-1,,"2-Pentenedioic acid, 2-hydroxy-","2-Pentenedioic acid, 2-hydroxy-"
"2,4-Di-tert-butylphenol","2,4-Di-tert-butylphenol",-1,,2-Piperidinone,2-Piperidinone
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1,,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)","2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)"
"2,5-Di-tert-butyl-4-hydroxyphenol","2,5-Di-tert-butyl-4-hydroxyphenol",-1,,2-Pyrrolidinone,2-Pyrrolidinone
"2,5-Dimethoxybenzhydrazide","2,5-Dimethoxybenzhydrazide",-1,,"2,3-Butanediol","2,3-Butanediol"
"2,5-Dimethoxyphenol","2,5-Dimethoxyphenol",-1,,"2,3,4-Trihydroxybutyric acid","2,3,4-Trihydroxybutyric acid"
2'-Deoxyribolactone,2'-Deoxyribolactone,-1,,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone","2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone"
2'-Desoxyuridine,2'-Desoxyuridine,-1,,"2,4-Di-tert-butylphenol","2,4-Di-tert-butylphenol"
"2',2,3,6'-Tetramethoxychalcone","2',2,3,6'-Tetramethoxychalcone",1,,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
3-(3-Hydroxyphenyl)propanoic acid,3-(3-Hydroxyphenyl)propanoic acid,-1,,"2,5-Di-tert-butyl-4-hydroxyphenol","2,5-Di-tert-butyl-4-hydroxyphenol"
3-Aminobutanoic acid,3-Aminobutanoic acid,1,,"2,5-Dimethoxybenzhydrazide","2,5-Dimethoxybenzhydrazide"
3-Buten-2-one,3-Buten-2-one,1,,"2,5-Dimethoxyphenol","2,5-Dimethoxyphenol"
3-Deoxyhexitol,3-Deoxyhexitol,-1,,2'-Deoxyribolactone,2'-Deoxyribolactone
3-Hexenedioic acid,3-Hexenedioic acid,-1,,2'-Desoxyuridine,2'-Desoxyuridine
"3-Hydroxy-2,3-dihydromaltol","3-Hydroxy-2,3-dihydromaltol",-1,,"2',2,3,6'-Tetramethoxychalcone","2',2,3,6'-Tetramethoxychalcone"
3-Hydroxyisovaleric acid,3-Hydroxyisovaleric acid,-1,,3-(3-Hydroxyphenyl)propanoic acid,3-(3-Hydroxyphenyl)propanoic acid
3-Methyl-2-furoic acid,3-Methyl-2-furoic acid,1,,3-Aminobutanoic acid,3-Aminobutanoic acid
3-O-methyl-beta-D-Glucopyranose,3-O-methyl-beta-D-Glucopyranose,1,,3-Buten-2-one,3-Buten-2-one
