n1,n2,edge_dir
ENSMUSG00000054484-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",-1
ENSMUSG00000054484-P,3-Indoleacetic acid,-1
ENSMUSG00000054484-P,Glyceric acid,-1
ENSMUSG00000054484-P,Phosalone,1
ENSMUSG00000054484-P,"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro-",1
ENSMUSG00000032216-P,1-(3-Methylphenyl)piperazine,1
ENSMUSG00000032216-P,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1
ENSMUSG00000032216-P,"1,3,5-Benzetriol",1
ENSMUSG00000032216-P,10-Heptadecenoic acid,1
ENSMUSG00000032216-P,2-Amino-4-methylphenol,1
ENSMUSG00000032216-P,2-Ethyl-3-hydroxypropionic acid,1
ENSMUSG00000032216-P,2-Methyl-4-pentenoic acid,1
ENSMUSG00000032216-P,3-Hydroxyisovaleric acid,1
ENSMUSG00000032216-P,3-Indoleacetic acid,1
ENSMUSG00000032216-P,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1
ENSMUSG00000032216-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
ENSMUSG00000032216-P,4-Hydroxyphenyllactic acid,1
ENSMUSG00000032216-P,5-Hydroxyquinoline,1
ENSMUSG00000032216-P,Ammeline,1
ENSMUSG00000032216-P,Arachidonic acid,1
ENSMUSG00000032216-P,"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]-",-1
ENSMUSG00000032216-P,"Benzoic acid, pentadecyl ester",1
ENSMUSG00000032216-P,Benzophenone,1
ENSMUSG00000032216-P,Butylmethylamine,1
ENSMUSG00000032216-P,"Cyclopentanone, 2,2,4-trimethyl-",1
ENSMUSG00000032216-P,"D-(-)-Fructofuranose, pentakis",-1
ENSMUSG00000032216-P,Dinoseb ,1
ENSMUSG00000032216-P,Diphenyl ether,1
ENSMUSG00000032216-P,Indole-3-lactic acid,1
ENSMUSG00000032216-P,Isopropyl palmitate,1
ENSMUSG00000032216-P,Ketamine ,1
ENSMUSG00000032216-P,Levulinic acid,1
ENSMUSG00000032216-P,Methyl aminoacetate,1
ENSMUSG00000032216-P,Neostigmine ,1
ENSMUSG00000032216-P,Niclosamide,1
ENSMUSG00000032216-P,Nonanal,1
ENSMUSG00000032216-P,Phenoxyacetic acid,1
ENSMUSG00000032216-P,Phosalone,-1
ENSMUSG00000032216-P,Pimelic acid,1
ENSMUSG00000032216-P,Propylamine,1
ENSMUSG00000032216-P,"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro-",-1
ENSMUSG00000032216-P,Triethanolamine,1
