node,node_dir
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-1
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1
(CH3)2C=NC2H558,1
1-(3-Methylphenyl)piperazine,-1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1
1-Aminocyclopropanecarboxylic acid,-1
"1-Butanamine, N,N-diethyl-",-1
1-Cyclopentylethanol,-1
"1-Decene, 8-methyl-",-1
1-Deoxypentitol,-1
1-Hexadecanol,1
1-Hydroxy-3-methoxy-6-methylanthraquinone,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",-1
"1-Octanol, 2-butyl-",1
"1-Octene, 2-methyl-",-1
1-Phenethylamine,-1
"1-Phenyl-1,2-ethanediol",-1
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",1
"1,1'-Biphenyl, 3,4-diethyl-",-1
"1,2-Benzenedicarboxylic acid",1
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-1
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",-1
"1,3,5-Benzetriol",-1
"1,3,5-Trimethyl-1H-pyrazol-4-amine",-1
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",1
"1,5-Anhydroglucitol",1
10-Heptadecenoic acid,-1
12-Oxooctadecanoate,-1
13-Docosenamide,1
"15-Oxo-11Z,13E-eicosadienoic acid",-1
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",-1
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",1
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",-1
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,-1
"2-Allyl-1,4-dimethoxybenzene",-1
2-Amino-4-methylphenol,-1
2-Aminoadipic acid,-1
2-Aminobutanoic acid,1
2-Ethyl-3-hydroxypropionic acid,-1
"2-Heptanone, 4,6-dimethyl-",-1
2-Heptenoic acid,-1
2-Hydroxy-3-methylbutyric acid,-1
2-Hydroxy-5-methoxybenzaldehyde,1
2-Hydroxybutyric acid,1
2-Isopropyl-5-methyl-1-heptanol ,-1
2-Ketoisocaproic acid,1
2-Methyl-4-pentenoic acid,-1
2-Methylglutaconic acid,-1
2-Pentenoic acid,-1
"2-Propenamide, 3-phenyl-N-2-propenyl-",-1
"2,2-Diallylpyrrolidine",-1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-1
"2,3-Butanediol",-1
"2,3,4-Trihydroxybutyric acid tetrakis",-1
"2,4-Imidazolidinedione, 5,5-dimethyl-",-1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1
