Node 1 ID,Node 1 External ID,Node 1 Name,Node 1 Tissue,Node 1 Feature Type,Node 2 ID,Node 2 External ID,Node 2 Name,Node 2 Tissue,Node 2 Feature Type,Node 1: Direction of Change,Node 2: Direction of Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ENSMUSG00000027374,Mrps5,Choroid Plexus,Gene,509,ENSMUSG00000022426,Josd1,Choroid Plexus,Gene,Down,Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,12,ENSMUSG00000036948,Trappc14,Choroid Plexus,Gene,Up,Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,14,ENSMUSG00000041936,Agrn,Choroid Plexus,Gene,Up,Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,177,ENSMUSG00000030016,Zfp638,Choroid Plexus,Gene,Up,Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,428,ENSMUSG00000032251,Irak1bp1,Choroid Plexus,Gene,Up,Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,449,ENSMUSG00000005575,Ube2m,Choroid Plexus,Gene,Up,Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,480,ENSMUSG00000022023,Wbp4,Choroid Plexus,Gene,Up,Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,510,ENSMUSG00000011831,Evi5,Choroid Plexus,Gene,Up,Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,608,ENSMUSG00000051285,Pcmtd1,Choroid Plexus,Gene,Up,Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,643,ENSMUSG00000024873,Cnih2,Choroid Plexus,Gene,Up,Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,664,ENSMUSG00000014846,Tppp3,Choroid Plexus,Gene,Up,Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,799,ENSMUSG00000031479,Vps36,Choroid Plexus,Gene,Up,Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ENSMUSG00000055681,Cope,Choroid Plexus,Gene,185,ENSMUSG00000032615,Nt5m,Choroid Plexus,Gene,Up,Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ENSMUSG00000055681,Cope,Choroid Plexus,Gene,691,ENSMUSG00000042745,Id1,Choroid Plexus,Gene,Up,Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
