metabolite	pubchem_id
D-(+)-Glucosamine	
2-Ethylacetoacetate	
L-Valyl-L-leucine	6993118
2-Ethylhexanoic acid	8697
d-Erythrotetrofuranose	
2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)	
Hydracrylic acid	68152
Phenylalanine	6140
Serine	5951
1-Octadecanol	8221
Propanoic acid, 2-oxo	
2'-Deoxyribolactone	161815
9-Octadecenoic acid	965
1,7-Dimethyl-4-(1-methylethyl)cyclodecane	543807
Phenol	996
Methylsuccinic acid	10349
L-Isoleucine	6306
Tricine	79784
L-Valine	6287
L-Rhamnose	25310
Vanillin	1183
Urea	1176
D-(-)-Fructofuranose	
Tripropylene glycol monomethyl ether	30111
L-Serine	5951
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol	644022
3-Pyridylcarbinol	7510
Cytosine	597
L-Aspartic acid	5960
Suberic acid	10457
Supraene	638072
4-Hydroxybenzaldehyde	126
Butyl Succinate	78829
L-Threonine	6288
Methylmaleic acid	643798
Benzoic Acid	243
N-(2-hydroxyethyl)-succinimide	236334
Itaconic acid	811
1-Dodecanol	8193
1-Octanol	957
2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)	
Pyrrole-2-carboxylic acid	12473
Salsoline	40010
Cyclohexanemethanol	7507
cis-4,5-Dihydroxy-o-dithiane	
4-Hydroxybenzoic acid	135
Pimelic acid	385
2-Piperidinone	12665
beta-Alanine	239
beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy	
Gluconolactone (3R,4S,5R,6R)	
L-Leucine	6106
trans-Coniferryl alchool	
Pentanedioic acid	743
3-Undecene	5362751
Butanoic acid, 3,4-dihydroxy-	150929
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside	
Arabinose	439195
N-Acetyl-D-galactosamine, (R,R,R,R)	
3-Deoxyhexitol	560035
4-Methyl-5-thiazoleethanol	1136
Cyclohexanecarboxylic acid	7413
Azetidine, 1-acetyl-2-methyl	537224
2-Pyrrolidinone	12025
D-(-)-Fructopyranose	
5-Methyluridine	445408
1-Tetradecanol	8209
2-Hydroxy-3-methylbutyric acid	99823
Deoxyribopyranose	
Picolinic acid	1018
L-Proline	145742
Butyl caprylate	11517
DL-Phenylalanine	994
2,3-Butanediol	262
Inosose-2, myo	
2,5-Di-tert-butyl-4-hydroxyphenol	
L-Norvaline	65098
2'-Desoxyuridine	13712
N-Acetyl glucosamine methoxime	
pyrazole	1048
Norketamine	123767
Hexadecanoic acid, 4-hydroxybutyl ester	205694
2',2,3,6'-Tetramethoxychalcone	24208768
3-Hexenedioic acid	5351896
Octadecyl octyl ether	87077647
Pipecolic acid	849
2-Pentenedioic acid, 2-hydroxy-	
Thymidine	5789
2-Aminobutanoic acid	6657
D-Psicofuranose	11378852
2-Butenoic acid, 2-hydroxy-	
Pentanoic acid	7991
9H-Purin-6-ol	135398638
2,3,4-Trihydroxybutyric acid	439535
N-Acetylglucosamine	1738118
Aconitic acid	309
2,4-Di-tert-butylphenol	7311
2-Allyl-1,4-dimethoxybenzene 	92534
L-Glutamic acid	33032
Xanthine	1188
D-Glucose	5793
Tetrahydrogeranyl formate	109224
(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile	5376991
D-Allofuranose	21145993
D-(+)-Ribono-1,4-lactone 	111064
Uracil	1174
l-Leucyl-l-valine	6993116
Undecanoic acid	8180
beta-D-(-)-Ribopyranose	
3-Buten-2-one	6570
3-O-methyl-beta-D-Glucopyranose	11869260
Decyl oleate	5363234
Hydroquinone	785
Xylazine	5707
Erythrono-1,4-lactone	5325915
L-(-)-Sorbofuranose	
Niacinamide	936
N-Methyl-alpha-aminoisobutyric acid	75725
Guanidine, N,N-dimethyl	
3-(3-Hydroxyphenyl)propanoic acid	91
Lignoceric acid	11197
