metabolite	pubchem_id
(CH3)2C=NC2H558	
(pm)-alpha-Tocopherol acetate	
(pm)-N-Propylamphetamine	
(pm)-Norketamine	
(pm)-Phenylpropanolamine	
(R*,S*)-2,3-Dihydroxybutanoic acid	10964471
(S,S)-(-)-Hydrobenzoin	853020
1-(3-Methylphenyl)piperazine	83111
1-(4-Hydroxybenzylidene)acetone	796857
1-Aminocyclopropanecarboxylic acid	535
1-Butanamine, N,N-diethyl-	20513
1-Cyclopentylethanol	95434
1-Decene, 8-methyl-	521957
1-Deoxypentitol	270738
1-Hexadecanol	2682
1-Hexanol	8103
1-Hydroxy-3-methoxy-6-methylanthraquinone	179389
1-Monoacetin	33510
1-Octanol, 2-butyl-	19800
1-Octanol	957
1-Phenethylamine	7408
1-Phenyl-1,2-ethanediol	7149
1-Phenylethanol	7409
1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-	
1-Tetradecanol	8209
1,1'-Biphenyl, 3,4-diethyl-	43551
1,2-Benzenedicarboxylic acid	1017
1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene	627397
1,3-Cyclohexanebis(methylamine)	17406
1,3-Dioxane-4-methanol, 4,5-dimethyl-	538733
1,3,5-Benzetriol	
1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl 	
1,5-Anhydroglucitol	64960
10-Heptadecenoic acid	4385123
12-Hydroxyoctadecanoic acid	7789
12-Oxooctadecanoate	17968486
13-Docosenamide	8214
2-(2,5-Dimethoxy-phenyl)-propionaldehyde	596766
2-(Decanoyloxy)propane-1,3-diyl dioctanoate	10436013
2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol	91736762
2-Allyl-1,4-dimethoxybenzene	92534
2-Amino-4-methylphenol	7264
2-Amino-4,6-dihydroxypyrimidine	66131
2-Aminoadipic acid	469
2-Aminobutanoic acid	6657
2-Furoic acid	6919
2-Heptanone, 4,6-dimethyl-	89180
2-Heptenoic acid	5282709
2-Hexen-1-ol	5318042
2-Hydroxy-3-methylbutyric acid	99823
