metabolite	pubchem_id
3-(Nona-4,7-dienoyl)oxirane-2-carboxamide 	5352018
2-amino-1-methyl-1H-imidazol-4-ol	26009888
1,2-Butadiene, 1,1,4-triphenyl-	
1,3-Diethynylbenzene	123130
(Z)-2-hydroxyhex-2-enoic acid	
Xylazine	5707
3-Hydroxybut-3-en-2-one	13285096
3'-oxy-beta-napthoflavone	
7alpha-Hydroxycholesterol	107722
7-amino-4-methylcoumarin	92249
Glycolic acid	757
Monoacetin	33510
Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-oxy	
beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-oxy-	
beta-D-Galactofuranose, 1,2,3,5,6-pentakis-oxy-	
Acetylene	6326
Butanal, 2,3,4-tris(oxy)-, O-methyloxime, [R-(R*,R*)]-	
2-hydroxy-2-methylbutanoic acid	95433
2,4-Dihydroxybutanoic acid	192742
Cetaben	47263
4-Hydroxycyclohexanecarboxylic acid	151138
4-Hydroxyhippuric acid	151012
Morpholine, 4-(2,3,4,6-tetrakis-O-alpha-d-mannopyranosyl)-	
N-hexanamide	12332
Isocarbamid	35699
guanine	135398634
Carbamate	276
2-hydroxyglutaric acid	43
3-Hydroxy-3-methylglutaric acid	1662
4-hydroxy-3-pentenoic acid	6442606
Thymine	1135
Tacrine	1935
6-(Hydroxymethyl)-1,3,5-trimethylpyrimidine-2,4-dione	
3-Carboxymethyl-6-benzyl-2,5-diketopiperazine	119494
3-thiopropanoic acid	6514
Oct-2-enoate	5282713
3-Carboxymethyl-6-benzyl-2,5-diketopiperazine	119494
5-ethyl-2-indolecarboxylic acid	269697
methoxamine	6082
1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-, diethyl ester	
(Z)-1,3-diphenylpent-1-en-1-ol	
2,3-Butanediol monoacetate	143344
phenolphthalein	4764
2-ethylbutane-1,3-diol	47955
9-Ethyl-9H-carbazol-3-amine	8588
Benzenemethanol, 4-hydroxy-alpha-(1-(methylamino)ethyl)-	9701
Norleucine	21236
Oxymorphone	5284604
