metabolite - M	pubchem_id
"(2S,3R)-3-[(4E,7E)-nona-4,7-dienoyl]oxirane-2-carboxamide"	
2-amino-1-methyl-1H-imidazol-4-ol	26009888
"1,1,4-triphenyl-3-(trimethylsilyl)buta-1,2-dien-4-ol"	
"1,3-diethynylbenzene"	123130
2-hydroxyhex-2-enoic acid	
"2,6-dimethyl-N-(1,3-thiazinan-2-ylidene)aniline"	
3-hydroxybut-3-en-2-one	13285096
3'-hydroxy-beta-naphthoflavone	
"cholest-5-ene-3β,7α-diol"	
7-amino-4-methylcoumarin	92249
glycolic acid	757
acetin	33510
tyramine	5610
1-deoxy-1-(4-morpholinyl)-β-D-fructopyranose	
D-galactose	6036
acetylene	6326
erythrose	94176
3-hydroxy-2-methylbutanoic acid	160471
"2,4-dihydroxybutanoic acid"	192742
Cetaben	47263
cis-4-hydroxycyclohexanecarboxylic acid	151138
4-hydroxyhippuric acid	151012
4-(α-D-mannopyranosyl)morpholine	
hexanamide	12332
"N-isobutyl-2-hydroxy-4,5-dihydro-1H-imidazole-1-carboxamide"	
guanine	135398634
carbamic acid	277
2-hydroxyglutaric acid	43
3-hydroxy-3-methylglutaric acid	1662
4-hydroxypentenoic acid	538669
thymine	1135
Tacrine	1935
"1,3-dimethyl-6-(hydroxymethyl)thymine"	
"(5-benzyl-3,6-dioxopiperazin-2-yl)acetic acid"	119494
3-mercaptopropionic acid	6514
oct-2-enoic acid	73850
"(5-benzyl-3,6-dioxopiperazin-2-yl)acetic acid"	119494
5-ethyl-1H-indole-2-carboxylic acid	269697
"1-(2,5-dimethoxyphenyl)-1-hydroxypropan-2-amine"	
"diethyl 4-hydroxy-1,2,3,5,6,7,8,8a-octahydro-1,2-cinnolinedicarboxylate"	
"1,3-diphenylpent-1-en-1-ol"	
"2,3-butanediol monoacetate"	143344
phenolphthalein	4764
3-(hydroxymethyl)pentan-2-ol	
9-ethyl-9H-carbazol-3-amine	8588
N-methyl-1-(4-hydroxyphenyl)-1-hydroxypropan-2-amine	
norleucine	21236
oxymorphone	5284604
