Name,CID
Dinoseb,6950.0
2-Methylglutaconic acid,6368126.0
Salsoline,40010.0
Salsoline,40010.0
1-Aminocyclopropanecarboxylic acid,535.0
1-Deoxypentitol,270738.0
1-Hexacosene,29303.0
1-Hexadecanol,2682.0
1-Hexanol,8103.0
Cyclohexanol,7966.0
1-Hexanol,8103.0
1-Phenylethanol,7409.0
1-Phenethylamine,7408.0
Propylamine,7852.0
Pyrogallol,1057.0
"1,4-Butanediol",8064.0
"1,5-Anhydroglucitol",64960.0
12-Hydroxyoctadecanoic acid,7789.0
17-alpha-Hydroxypregnenolone,91451.0
2-Aminoadipic acid,469.0
"1-Octanol, 2-butyl-",19800.0
Deoxyglucose,108223.0
"N,N-Diethyl-2-aminoethanol",7497.0
2-Ethylhexanoic acid,8697.0
2-Furoic acid,6919.0
2-Heptenoic acid,5282709.0
2-Hexen-1-ol,5318042.0
2-Hydroxy-3-methylbutyric acid,99823.0
2-Hydroxy-3-methylbutyric acid,99823.0
2-Hydroxybutyric acid,11266.0
2-Methyl-4-pentenoic acid,549519.0
2-Naphthol,8663.0
Benzeneacetamide,7680.0
2-Piperidinone,12665.0
2-Pyrrolidinone,12025.0
2-Pyrrolidinone,12025.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",23284.0
"2,3-Butanediol",262.0
"2,3-Butanediol",262.0
"2,4-Di-tert-butylphenol",7311.0
Butylated Hydroxytoluene,
3-(3-Hydroxyphenyl)propanoic acid,91.0
3-Amino-2-piperidone,5200225.0
3-Aminobutanoic acid,10932.0
3-Aminobutanoic acid,10932.0
3-Buten-2-one,6570.0
3-Hexenedioic acid,5351896.0
3-Hydroxybutyric acid,441.0
3-Hydroxybutyric acid,441.0
3-Hydroxyisovaleric acid,69362.0
3-Hydroxyisovaleric acid,69362.0
3-Hydroxypicolinic acid,13401.0
5-Oxohexanoic Acid,18407.0
"(R*,S*)-2,3-Dihydroxybutanoic acid",10964471.0
4-Hydroxybenzaldehyde,126.0
4-Hydroxybenzaldehyde,126.0
4-Hydroxybenzoic acid,135.0
4-Hydroxybenzoic acid,135.0
L-Hydroxyproline,5810.0
p-Toluic acid,7470.0
Pyridoxic acid,6723.0
Phloroglucinol,359.0
Phloroglucinol,359.0
4-Methyl-5-thiazoleethanol,1136.0
5-Aminovaleric acid,138.0
5-Hydroxytryptophan,144.0
5-Hydroxyhexanoic acid,170748.0
"5alpha-Pregnane-3,20-dione",92810.0
Atrazine desethyl,22563.0
"6,7,4'-Trihydroxyisoflavone",5284649.0
6-Hydroxyhexanoic acid,14490.0
"1-Decene, 8-methyl-",521957.0
Acetoacetic acid,96.0
Tributyl acetylcitrate,6505.0
Aceturic acid,10972.0
Aconitic acid,309.0
Hexanedioic acid,196.0
alpha-Linolenic acid,5280934.0
alpha-Linolenic acid,5280934.0
alpha-Tocopherol,14985.0
(pm)-alpha-Tocopherol acetate,
alpha-Tocopheryl acetate,86472.0
Ammeline,135408770.0
Arachidonic acid,444899.0
Azatadine,19861.0
Azelaic acid,2266.0
Benzoic Acid,243.0
Benzophenone,3102.0
Benzyl alcohol,244.0
beta-Alanine,239.0
Cadaverine,273.0
Campesterol,173183.0
Decanoic acid,2969.0
Decanoic acid,2969.0
Hexanoic acid,8892.0
Octanoic acid,379.0
Octanoic acid,379.0
Carfentrazone-ethyl,86222.0
Cholesterol,5997.0
Cholesterol,5997.0
Cinnamic acid,444539.0
Methylmaleic acid,643798.0
Citric acid,311.0
Citric acid,311.0
Cyclohexanecarboxylic acid,7413.0
Cytosine,597.0
D-Fructose,2723872.0
D-Fructose,2723872.0
Glucose,5793.0
D-Glucose,5793.0
D-Mannose,18950.0
DL-Phenylalanine,994.0
DL-Phenylalanine,994.0
D-Proline,8988.0
D-Ribose,10975657.0
D-Ribose,10975657.0
D-Threitol,169019.0
Xylose,135191.0
Xylose,135191.0
Deoxycholic Acid,222528.0
Deoxycholic Acid,222528.0
2'-Desoxyuridine,13712.0
Desmosterol,439577.0
Dihydrouracil,649.0
Dihydrouracil,649.0
Dihydroxyacetone,670.0
Dimethyl fumarate,637568.0
Diphenyl ether,7583.0
Dobutamine,36811.0
Doconexent,445580.0
Dodecanoic acid,3893.0
1-Dodecanol,8193.0
Eicosapentaenoic acid,5282847.0
Erythritol,222285.0
L-Threitol,445969.0
Erythritol,222285.0
"Erythrono-1,4-lactone",5325915.0
Ethanolamine,700.0
Ethanamine,6341.0
4-Hydroxybutanoic acid,10413.0
4-Hydroxybutanoic acid,10413.0
D-(+)-Glucosamine,
L-Glutamic acid,33032.0
L-Glutamic acid,33032.0
L-Glutamine,5961.0
Gln-Ala,9813211.0
Pentanedioic acid,743.0
DL-Glyceraldehyde,751.0
Glyceric acid,752.0
Glyceric acid,752.0
Glycerol,753.0
Glycine,750.0
Glycolic acid,757.0
Glycolic acid,757.0
Guanabenz,5702063.0
Heptadecanoic acid,10465.0
Hexacosanoic acid,10469.0
Hydroquinone,785.0
Hydroquinone,785.0
4-Hydroxyphenyllactic acid,9378.0
4-Hydroxyphenyllactic acid,9378.0
Tartronic acid,45.0
Hydracrylic acid,68152.0
Hydracrylic acid,68152.0
beta-Hydroxypyruvic acid,964.0
9H-Purin-6-ol,135398638.0
Idoxuridine,5905.0
Indole-3-carboxaldehyde,10256.0
3-Indolepropionic acid,3744.0
3-Indoleacetic acid,802.0
Indole-3-lactic acid,92904.0
N-Isobutyrylglycine,10855600.0
Isofucosterol,5281326.0
L-Isoleucine,6306.0
L-Isoleucine,6306.0
Butyl caprylate,11517.0
Isonicotinic Acid,5922.0
Isopropyl palmitate,8907.0
N-Isovaleroylglycine,546304.0
Isoxaben,73672.0
Itaconic acid,811.0
Itaconic acid,811.0
Ketamine,3821.0
Ketamine,3821.0
2-Ketoisocaproic acid,70.0
L-Alanine,5950.0
2-Aminobutanoic acid,6657.0
2-Aminobutanoic acid,6657.0
Arabinose,439195.0
Arabinitol,94154.0
L-Asparagine,6267.0
Aspartic acid,5960.0
L-Aspartic acid,5960.0
L-Aspartic acid,5960.0
L-Cysteine,5862.0
Galactopyranose,6036.0
L-Norleucine,21236.0
L-Threonine,6288.0
L-Tryptophan,6305.0
L-Tyrosine,6057.0
Tyrosine,6057.0
L-Valine,6287.0
Lactic Acid,612.0
L-(+)-Lactic acid,107689.0
L-Leucine,6106.0
L-Leucine,6106.0
l-Leucyl-l-valine,6993116.0
Levulinic acid,11579.0
"9,12-Octadecadienoic acid",3931.0
Malic acid,525.0
Menthol,1254.0
Metanephrine,21100.0
"Benzoic acid, methyl ester",7150.0
S-Methyl-L-cysteine,24417.0
4-(Methoxycarbonyl)phenol,7456.0
Methylsuccinic acid,10349.0
2-Palmitoylglycerol,123409.0
