Metabolite Name,PubChem,HMDB,SMILES
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",91696873,,C/C=C/C/C=C/CCC(=O)C1C(O1)C(=O)N([Si](C)(C)C)[Si](C)(C)C
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",,,
(CH3)2C=NC2H558,,,
(pm)-alpha-Tocopherol acetate,,,
(pm)-N-Propylamphetamine,,,
(pm)-Norketamine,,,
(pm)-Phenylpropanolamine,,,
"(R*,S*)-2,3-Dihydroxybutanoic acid",10964471,HMDB0002453,C[C@H]([C@@H](C(=O)O)O)O
"(S,S)-(-)-Hydrobenzoin",853020,,C1=CC=C(C=C1)[C@@H]([C@H](C2=CC=CC=C2)O)O
1-(3-Methylphenyl)piperazine,83111,,CC1=CC(=CC=C1)N2CCNCC2
1-(4-Hydroxybenzylidene)acetone,796857,,CC(=O)/C=C/C1=CC=C(C=C1)O
1-Aminocyclopropanecarboxylic acid,535,HMDB0036458,C1CC1(C(=O)O)N
"1-Butanamine, N,N-diethyl-",20513,,CCCCN(CC)CC
1-Cyclopentylethanol,95434,,CC(C1CCCC1)O
"1-Decene, 8-methyl-",521957,,CCC(C)CCCCCC=C
1-Deoxypentitol,270738,HMDB0041486,CC(C(C(CO)O)O)O
1-Hexadecanol,2682,HMDB0003424,CCCCCCCCCCCCCCCCO
1-Hexanol,8103,HMDB0012971,CCCCCCO
1-Hydroxy-3-methoxy-6-methylanthraquinone,179389,,CC1=CC2=C(C=C1)C(=O)C3=C(C2=O)C=C(C=C3O)OC
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",91706643,,CN1C=C(N=C1N([Si](C)(C)C)[Si](C)(C)C)O[Si](C)(C)C
1-Monoacetin,33510,HMDB0243948,CC(=O)OCC(CO)O
"1-Octanol, 2-butyl-",19800,HMDB0041288,CCCCCCC(CCCC)CO
1-Octanol,957,HMDB0001183,CCCCCCCCO
1-Phenethylamine,7408,HMDB0002017,CC(C1=CC=CC=C1)N
"1-Phenyl-1,2-ethanediol",7149,,C1=CC=C(C=C1)C(CO)O
1-Phenylethanol,7409,HMDB0032619,CC(C1=CC=CC=C1)O
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",,,
1-Tetradecanol,8209,HMDB0011638,CCCCCCCCCCCCCCO
"1,1'-Biphenyl, 3,4-diethyl-",43551,,CCC1=C(C=C(C=C1)C2=CC=CC=C2)CC
"1,2-Benzenedicarboxylic acid",1017,HMDB0002107,C1=CC=C(C(=C1)C(=O)O)C(=O)O
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",601546,,C[Si](C)(C)C(=C=C(C1=CC=CC=C1)C2=CC=CC=C2)C(C3=CC=CC=C3)O[Si](C)(C)C
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",627397,,COC1=C(C(=C2CC3=CC(=O)CCC3CCC2=C1)OC)OC
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",142239,,C[Si](C)(C)C#CC1=CC(=CC=C1)C#C[Si](C)(C)C
"1,3-Cyclohexanebis(methylamine)",17406,,C1CC(CC(C1)CN)CN
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",538733,,CC1COCOC1(C)CO
"1,3,5-Benzetriol",,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",,,
"1,5-Anhydroglucitol",64960,HMDB0002712,C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
10-Heptadecenoic acid,4385123,HMDB0244268,CCCCCCC=CCCCCCCCCC(=O)O
12-Hydroxyoctadecanoic acid,7789,HMDB0061706,CCCCCCC(CCCCCCCCCCC(=O)O)O
12-Oxooctadecanoate,17968486,,CCCCCCC(=O)CCCCCCCCCCC(=O)[O-]
13-Docosenamide,8214,HMDB0244507,CCCCCCCCC=CCCCCCCCCCCCC(=O)N
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",596766,,CC(C=O)C1=C(C=CC(=C1)OC)OC
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",10436013,,CCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCC
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",91736762,,CC(=O)C1=C(C=CC(=C1C2=CC=CN2C)O)O
"2-Allyl-1,4-dimethoxybenzene",92534,,COC1=CC(=C(C=C1)OC)CC=C
2-Amino-4-methylphenol,7264,,CC1=CC(=C(C=C1)O)N
"2-Amino-4,6-dihydroxypyrimidine",66131,,C1=C(N=C(NC1=O)N)O
2-Aminoadipic acid,469,HMDB0302754,C(CC(C(=O)O)N)CC(=O)O
2-Aminobutanoic acid,6657,,CCC(C(=O)O)N
2-Furoic acid,6919,HMDB0000617,C1=COC(=C1)C(=O)O
"2-Heptanone, 4,6-dimethyl-",89180,,CC(C)CC(C)CC(=O)C
2-Heptenoic acid,5282709,HMDB0031484,CCCC/C=C/C(=O)O
2-Hexen-1-ol,5318042,HMDB0030952,CCC/C=C/CO
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",,,
2-Hydroxy-3-methylbutyric acid,99823,HMDB0000407,CC(C)C(C(=O)O)O
2-Hydroxy-5-methoxybenzaldehyde,95695,,COC1=CC(=C(C=C1)O)C=O
2-Hydroxybutyric acid,11266,,CCC(C(=O)O)O
2-Isopropyl-5-methyl-1-heptanol,545941,,CCC(C)CCC(CO)C(C)C
2-Ketoisocaproic acid,70,HMDB0000695,CC(C)CC(=O)C(=O)O
2-Methyl-4-pentenoic acid,549519,HMDB0031158,CC(CC=C)C(=O)O
2-Methylglutaconic acid,6368126,HMDB0002266,C/C(=C\CC(=O)O)/C(=O)O
2-Naphthol,8663,HMDB0012322,C1=CC=C2C=C(C=CC2=C1)O
"2-Propanone, bis(1-methylethyl)hydrazone",567495,,CC(C)N(C(C)C)N=C(C)C
"2-Propenamide, 3-phenyl-N-2-propenyl-",5371820,,C=CCNC(=O)/C=C/C1=CC=CC=C1
2-Pyrrolidinone,12025,HMDB0002039,C1CC(=O)NC1
"2,2-Diallylpyrrolidine",573606,,C=CCC1(CCCN1)CC=C
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",23284,HMDB0059777,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",,,
"2,3-Butanediol",262,HMDB0003156,CC(C(C)O)O
"2,3,4-Trihydroxybutyric acid tetrakis",,,
"2,4-Imidazolidinedione, 5,5-dimethyl-",6491,,CC1(C(=O)NC(=O)N1)C
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",12867,HMDB0013817,CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C
"2,5-di-tert-Butyl-1,4-benzoquinone",17161,,CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C
"2,5-Dimethoxybenzonitrile",79200,,COC1=CC(=C(C=C1)OC)C#N
"2,5-Dimethoxymandelic acid",12216540,,COC1=CC(=C(C=C1)OC)C(C(=O)O)O
"2,5-Dimethoxyphenol",5314498,,COC1=CC(=C(C=C1)OC)O
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",139766,,CC(C)C1C(=O)NC(C(=O)N1)CC2=CC=CC=C2
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",548216,,C1=C(N=C(C=N1)OCCNCCSS(=O)(=O)O)OCCNCCSS(=O)(=O)O
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",91740490,,CC1=C(C(=CC=C1)C)N=C2N(CCCS2)[Si](C)(C)C
"2',2,3,6'-Tetramethoxychalcone",24208768,,COC1=C(C(=CC=C1)OC)C(=O)/C=C/C2=C(C(=CC=C2)OC)OC
3-(2-Hydroxyethyl)imidazole-2-thione,5372748,,C1=CN(C(=S)N1)CCO
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",543321,,CCC1=CC(=C(S1)C(=O)OCC)NC(=O)CCNC2CCCCC2
3-Amino-2-piperidone,5200225,HMDB0000323,C1CC(C(=O)NC1)N
3-Amino-5-morpholinomethyl-2-oxazolidinone,3016406,,C1COCCN1CC2CN(C(=O)O2)N
3-Aminobutanoic acid,10932,HMDB0031654,CC(CC(=O)O)N
"3-Buten-2-one, 3-trimethylsilyloxy-",588565,,CC(=O)C(=C)O[Si](C)(C)C
"3-Buten-2-one, 4-(4-methoxyphenyl)-",736889,,CC(=O)/C=C/C1=CC=C(C=C1)OC
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",,,
3-Hexenedinitrile,5324708,,C(/C=C/CC#N)C#N
"3-Hydroxy-2,3-dihydromaltol",119838,,CC1=C(C(=O)C(CO1)O)O
3-Hydroxybutyric acid,441,HMDB0000011,CC(CC(=O)O)O
3-Hydroxyisovaleric acid,69362,HMDB0000754,CC(C)(CC(=O)O)O
3-Indoleacetic acid,802,HMDB0000197,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
3-Indolepropionic acid,3744,HMDB0002302,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O
3-Methoxysalicylic acid,70140,HMDB0059713,COC1=CC=CC(=C1O)C(=O)O
3-Nonen-1-ol,66310,,CCCCCC=CCCO
"3,4-Dihydroxymandelic acid, ethyl ester",,,
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",86094574,,CC1C(OCN1C)C2=CC3=C(C=C2)OCO3
"3,5-Dimethylpyrazole",6210,HMDB0246065,CC1=CC(=NN1)C
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,,,
3'-Hydroxyacetophenone,8487,,CC(=O)C1=CC(=CC=C1)O
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",,,
4-(Methoxycarbonyl)phenol,7456,HMDB0032572,COC(=O)C1=CC=C(C=C1)O
4-Cumylphenol,11742,,CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)O
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,4635870,HMDB0033958,C1C(C(OC1=O)CO)O
4-Hydroxybenzaldehyde,126,HMDB0011718,C1=CC(=CC=C1C=O)O
4-Hydroxybenzeneacetic acid,127,HMDB0000020,C1=CC(=CC=C1CC(=O)O)O
4-Hydroxybenzoic acid,135,HMDB0000500,C1=CC(=CC=C1C(=O)O)O
4-Hydroxybutanoic acid,10413,HMDB0000710,C(CC(=O)O)CO
4-Hydroxyphenyllactic acid,9378,HMDB0000755,C1=CC(=CC=C1CC(C(=O)O)O)O
5-(2-Aminopropyl)-2-methylphenol,167995,HMDB0246715,CC1=C(C=C(C=C1)CC(C)N)O
5-Aminovaleric acid,138,HMDB0003355,C(CCN)CC(=O)O
"5-Androsten-17alpha-methyl-3beta,17beta-diol",,,
