"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Syringaldehyde","NA","NA","NA","NA","NA","0"
"D-(+)-Glucosamine","Glucosamine","HMDB0001514","439213","C00329","N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"2-Ethylacetoacetate","NA","NA","NA","NA","NA","0"
"L-Valyl-L-leucine","Valylleucine","HMDB0029131","6993117",NA,"CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O","1"
"2-Ethylhexanoic acid","2-Ethylhexanoic acid","HMDB0031230","8697",NA,"CCCCC(CC)C(O)=O","1"
"d-Erythrotetrofuranose","NA","NA","NA","NA","NA","0"
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","NA","NA","NA","NA","NA","0"
"Hydracrylic acid","Hydroxypropionic acid","HMDB0000700","68152","C01013","OCCC(O)=O","1"
"Phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"1-Octadecanol","Octadecanol","HMDB0002350","8221","D01924","CCCCCCCCCCCCCCCCCCO","1"
"Propanoic acid, 2-oxo","NA","NA","NA","NA","NA","0"
"2'-Deoxyribolactone","NA","NA","NA","NA","NA","0"
"9-Octadecenoic acid","Oleic acid","HMDB0000207","445639","C00712","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","NA","NA","NA","NA","NA","0"
"Phenol","Phenol","HMDB0000228","996","C00146","OC1=CC=CC=C1","1"
"Methylsuccinic acid","Methylsuccinic acid","HMDB0001844","6950476","C08645","C[C@@H](CC(O)=O)C(O)=O","1"
"L-Isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"Tricine","NA","NA","NA","NA","NA","0"
"L-Valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"L-Rhamnose","Rhamnose","HMDB0000849","25310","C00507","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","1"
"Vanillin","Vanillin","HMDB0012308","1183","C00755","COC1=CC(C=O)=CC=C1O","1"
"Urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"D-(-)-Fructofuranose","NA","NA","NA","NA","NA","0"
"Tripropylene glycol monomethyl ether","NA","NA","NA","NA","NA","0"
"L-Serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"11-Hydroxy-.DELTA.-9-tetrahydrocannabinol","NA","NA","NA","NA","NA","0"
"3-Pyridylcarbinol","NA","NA","NA","NA","NA","0"
"Cytosine","Cytosine","HMDB0000630","597","C00380","NC1=CC=NC(=O)N1","1"
"L-Aspartic acid","L-Aspartic acid","HMDB0000191","5960","C00049","N[C@@H](CC(O)=O)C(O)=O","1"
"Suberic acid","Suberic acid","HMDB0000893","10457","C08278","OC(=O)CCCCCCC(O)=O","1"
"Supraene","Squalene","HMDB0000256","638072","C00751","CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C","1"
"4-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde","HMDB0011718","126","C00633","OC1=CC=C(C=O)C=C1","1"
"Butyl Succinate","NA","NA","NA","NA","NA","0"
"L-Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"Methylmaleic acid","Citraconic acid","HMDB0000634","643798","C02226","C\C(=C\C(O)=O)C(O)=O","1"
"Benzoic Acid","Benzoic acid","HMDB0001870","243","C00180","OC(=O)C1=CC=CC=C1","1"
