"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide","NA","NA","NA","NA","NA","0"
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl","NA","NA","NA","NA","NA","0"
"(CH3)2C=NC2H558","NA","NA","NA","NA","NA","0"
"(pm)-alpha-Tocopherol acetate","NA","NA","NA","NA","NA","0"
"(pm)-N-Propylamphetamine","NA","NA","NA","NA","NA","0"
"(pm)-Norketamine","NA","NA","NA","NA","NA","0"
"(pm)-Phenylpropanolamine","NA","NA","NA","NA","NA","0"
"(R*,S*)-2,3-Dihydroxybutanoic acid","4-Deoxyerythronic acid","HMDB0000498","13120901",NA,"C[C@@H](O)[C@@H](O)C(O)=O","1"
"(S,S)-(-)-Hydrobenzoin","NA","NA","NA","NA","NA","0"
"1-(3-Methylphenyl)piperazine","NA","NA","NA","NA","NA","0"
"1-(4-Hydroxybenzylidene)acetone","NA","NA","NA","NA","NA","0"
"1-Aminocyclopropanecarboxylic acid","1-Aminocyclopropanecarboxylic acid","HMDB0036458","535","C01234","NC1(CC1)C(O)=O","1"
"1-Butanamine, N,N-diethyl","NA","NA","NA","NA","NA","0"
"1-Cyclopentylethanol","NA","NA","NA","NA","NA","0"
"1-Decene, 8-methyl","NA","NA","NA","NA","NA","0"
"1-Deoxypentitol","NA","NA","NA","NA","NA","0"
"1-Hexadecanol","1-Hexadecanol","HMDB0003424","2682","C00823","CCCCCCCCCCCCCCCCO","1"
"1-Hexanol","1-Hexanol","HMDB0012971","8103","C00854","CCCCCCO","1"
"1-Hydroxy-3-methoxy-6-methylanthraquinone","NA","NA","NA","NA","NA","0"
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine","NA","NA","NA","NA","NA","0"
"1-Monoacetin","NA","NA","NA","NA","NA","0"
"1-Octanol, 2-butyl","NA","NA","NA","NA","NA","0"
"1-Octanol","Octanol","HMDB0001183","957","C00756","CCCCCCCCO","1"
"1-Phenethylamine","1-Phenylethylamine","HMDB0002017","7408","C02455","CC(N)C1=CC=CC=C1","1"
"1-Phenyl-1,2-ethanediol","NA","NA","NA","NA","NA","0"
"1-Phenylethanol","1-Phenylethanol","HMDB0032619","7409","C07112","CC(O)C1=CC=CC=C1","1"
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl","NA","NA","NA","NA","NA","0"
"1-Tetradecanol","Tetradecanol","HMDB0011638","8209",NA,"CCCCCCCCCCCCCCO","1"
"1,1'-Biphenyl, 3,4-diethyl","NA","NA","NA","NA","NA","0"
"1,2-Benzenedicarboxylic acid","Phthalic acid","HMDB0002107","1017","C01606","OC(=O)C1=CC=CC=C1C(O)=O","1"
