"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"91696873","NA","NA","NA","NA","NA","NA","NA","0"
"10964471","4-Deoxythreonic acid","HMDB0002453","10964471","86391",NA,"6686","C[C@@H](O)[C@H](O)C(O)=O","1"
"853020","NA","NA","NA","NA","NA","NA","NA","0"
"83111","NA","NA","NA","NA","NA","NA","NA","0"
"796857","NA","NA","NA","NA","NA","NA","NA","0"
"535","1-Aminocyclopropanecarboxylic acid","HMDB0036458","535","18053","C01234",NA,"NC1(CC1)C(O)=O","1"
"20513","NA","NA","NA","NA","NA","NA","NA","0"
"95434","NA","NA","NA","NA","NA","NA","NA","0"
"521957","NA","NA","NA","NA","NA","NA","NA","0"
"270738","1-Deoxy-D-ribitol","HMDB0041486","270738",NA,NA,NA,"CC(O)C(O)C(O)CO","1"
"2682","1-Hexadecanol","HMDB0003424","2682","16125","C00823","6927","CCCCCCCCCCCCCCCCO","1"
"8103","1-Hexanol","HMDB0012971","8103","87393","C00854",NA,"CCCCCCO","1"
"179389","NA","NA","NA","NA","NA","NA","NA","0"
"91706643","NA","NA","NA","NA","NA","NA","NA","0"
"33510","2,3-Dihydroxypropyl acetate","HMDB0243948","33510",NA,NA,NA,"CC(=O)OCC(O)CO","1"
"19800","2-Butyl-1-octanol","HMDB0041288","19800","84235",NA,NA,"CCCCCCC(CO)CCCC","1"
"957","Octanol","HMDB0001183","957","16188","C00756","6063","CCCCCCCCO","1"
"7408","1-Phenylethylamine","HMDB0002017","7408","670","C02455","3246","CC(N)C1=CC=CC=C1","1"
"7149","NA","NA","NA","NA","NA","NA","NA","0"
"7409","1-Phenylethanol","HMDB0032619","7409","669","C07112",NA,"CC(O)C1=CC=CC=C1","1"
"8209","Tetradecanol","HMDB0011638","8209","77417",NA,NA,"CCCCCCCCCCCCCCO","1"
"43551","NA","NA","NA","NA","NA","NA","NA","0"
"1017","Phthalic acid","HMDB0002107","1017","29069","C01606","6489","OC(=O)C1=CC=CC=C1C(O)=O","1"
"601546","NA","NA","NA","NA","NA","NA","NA","0"
"627397","NA","NA","NA","NA","NA","NA","NA","0"
"142239","NA","NA","NA","NA","NA","NA","NA","0"
"17406","NA","NA","NA","NA","NA","NA","NA","0"
"538733","NA","NA","NA","NA","NA","NA","NA","0"
"64960","1,5-Anhydrosorbitol","HMDB0002712","64960","16070","C07326","3775","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"4385123","trans-10-Heptadecenoic acid","HMDB0244268","4385123","75098",NA,NA,"CCCCCCC=CCCCCCCCCC(O)=O","1"
"7789","12-Hydroxystearic acid","HMDB0061706","7789","85208",NA,NA,"CCCCCCC(O)CCCCCCCCCCC(O)=O","1"
