Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1,1,519,44991,32253,12738,2.532030146,0.334702167,0.21083534
1,0.3,519,38498,28321,10177,2.782843667,0.286398703,0.238782313
1,0.25,519,36782,27196,9586,2.837054037,0.27363284,0.245818055
1,0.2,519,34434,25633,8801,2.912509942,0.256165331,0.255765463
1,0.15,519,31424,23566,7858,2.998981929,0.233772997,0.268417627
1,0.1,519,27046,20525,6521,3.147523386,0.201203681,0.288649436
1,0.05,519,20864,15969,4895,3.262308478,0.155213843,0.315421034
1,0.01,519,11960,9145,2815,3.248667851,0.088974193,0.351191489
0.3,1,519,7124,5881,1243,4.731295253,0.052997671,0.439905703
0.3,0.3,519,7124,5881,1243,4.731295253,0.052997671,0.439905703
0.3,0.25,519,7124,5881,1243,4.731295253,0.052997671,0.439905703
0.3,0.2,519,7120,5879,1241,4.737308622,0.052967914,0.440152841
0.3,0.15,519,7089,5862,1227,4.777506112,0.052737296,0.441876926
0.3,0.1,519,6954,5769,1185,4.86835443,0.051732988,0.446964125
0.3,0.05,519,6573,5482,1091,5.024747938,0.04889861,0.458612248
0.3,0.01,519,5014,4176,838,4.983293556,0.037300719,0.485122436
0.25,1,519,5477,4581,896,5.112723214,0.040745122,0.469523073
0.25,0.3,519,5477,4581,896,5.112723214,0.040745122,0.469523073
0.25,0.25,519,5477,4581,896,5.112723214,0.040745122,0.469523073
0.25,0.2,519,5477,4581,896,5.112723214,0.040745122,0.469523073
0.25,0.15,519,5471,4579,892,5.133408072,0.040700486,0.470209278
0.25,0.1,519,5412,4537,875,5.185142857,0.040261566,0.473002829
0.25,0.05,519,5186,4365,821,5.316686967,0.038580281,0.481827802
0.25,0.01,519,4183,3500,683,5.124450952,0.03111865,0.499295214
0.2,1,518,4375,3672,703,5.223328592,0.032672905,0.490666677
0.2,0.3,518,4375,3672,703,5.223328592,0.032672905,0.490666677
0.2,0.25,518,4375,3672,703,5.223328592,0.032672905,0.490666677
0.2,0.2,518,4375,3672,703,5.223328592,0.032672905,0.490666677
0.2,0.15,518,4375,3672,703,5.223328592,0.032672905,0.490666677
0.2,0.1,518,4361,3661,700,5.23,0.032568352,0.491321842
0.2,0.05,518,4233,3569,664,5.375,0.031612436,0.498761983
0.2,0.01,517,3599,3019,580,5.205172414,0.026981842,0.511810825
0.15,1,510,2694,2337,357,6.546218487,0.020755807,0.547228367
0.15,0.3,510,2694,2337,357,6.546218487,0.020755807,0.547228367
0.15,0.25,510,2694,2337,357,6.546218487,0.020755807,0.547228367
0.15,0.2,510,2694,2337,357,6.546218487,0.020755807,0.547228367
0.15,0.15,510,2694,2337,357,6.546218487,0.020755807,0.547228367
0.15,0.1,510,2692,2336,356,6.561797753,0.020740398,0.547629922
0.15,0.05,510,2637,2297,340,6.755882353,0.020316653,0.553878895
0.15,0.01,507,2313,2009,304,6.608552632,0.018032135,0.567923939
0.1,1,491,1790,1569,221,7.099547511,0.014880086,0.589130317
0.1,0.3,491,1790,1569,221,7.099547511,0.014880086,0.589130317
0.1,0.25,491,1790,1569,221,7.099547511,0.014880086,0.589130317
0.1,0.2,491,1790,1569,221,7.099547511,0.014880086,0.589130317
0.1,0.15,491,1790,1569,221,7.099547511,0.014880086,0.589130317
0.1,0.1,491,1790,1569,221,7.099547511,0.014880086,0.589130317
0.1,0.05,491,1775,1558,217,7.179723502,0.014755393,0.591668447
0.1,0.01,485,1641,1442,199,7.246231156,0.013981426,0.603339833
0.05,1,450,1022,888,134,6.626865672,0.010116308,0.617403645
0.05,0.3,450,1022,888,134,6.626865672,0.010116308,0.617403645
0.05,0.25,450,1022,888,134,6.626865672,0.010116308,0.617403645
0.05,0.2,450,1022,888,134,6.626865672,0.010116308,0.617403645
0.05,0.15,450,1022,888,134,6.626865672,0.010116308,0.617403645
0.05,0.1,450,1022,888,134,6.626865672,0.010116308,0.617403645
0.05,0.05,450,1022,888,134,6.626865672,0.010116308,0.617403645
0.05,0.01,448,986,861,125,6.888,0.009847395,0.627587257
0.01,1,290,343,292,51,5.725490196,0.008185181,0.638798208
0.01,0.3,290,343,292,51,5.725490196,0.008185181,0.638798208
0.01,0.25,290,343,292,51,5.725490196,0.008185181,0.638798208
0.01,0.2,290,343,292,51,5.725490196,0.008185181,0.638798208
0.01,0.15,290,343,292,51,5.725490196,0.008185181,0.638798208
0.01,0.1,290,343,292,51,5.725490196,0.008185181,0.638798208
0.01,0.05,290,343,292,51,5.725490196,0.008185181,0.638798208
0.01,0.01,290,343,292,51,5.725490196,0.008185181,0.638798208
