n1,n2,edge_dir
ENSMUSG00000055681-P,"2,4-Di-tert-butylphenol",-1
"2,4-Di-tert-butylphenol",ENSMUSG00000028441-P,-1
"2,4-Di-tert-butylphenol",ENSMUSG00000043614-P,-1
4-Coumaric acid,2-Aminobutanoic acid,-1
L-(+)-Rhamnopyranose,L-Serine,-1
L-(+)-Rhamnopyranose,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",-1
L-(+)-Rhamnopyranose,5-Hydroxymethyl-2-furoic acid,-1
L-(+)-Rhamnopyranose,Glycerol tricaprylate,-1
L-(+)-Rhamnopyranose,Palmitelaidic acid,-1
L-(+)-Rhamnopyranose,"Pentanoic acid, 4-methyl-2-oxo-",-1
ENSMUSG00000032216-P,L-Valine,1
L-Valine,ENSMUSG00000030216-P,1
L-Valine,ENSMUSG00000068284-P,1
L-Valine,ENSMUSG00000039253-P,1
L-Valine,ENSMUSG00000022781-P,1
L-Valine,ENSMUSG00000024081-P,1
L-Valine,ENSMUSG00000037262-P,1
L-Valine,ENSMUSG00000035941-P,1
L-Valine,ENSMUSG00000033411-P,1
L-Valine,ENSMUSG00000022283-P,1
L-Valine,ENSMUSG00000021693-P,1
L-Valine,ENSMUSG00000059495-P,1
L-Valine,ENSMUSG00000035133-P,1
L-Valine,ENSMUSG00000025060-P,1
L-Valine,ENSMUSG00000037664-P,1
L-Valine,ENSMUSG00000072704-P,1
L-Valine,ENSMUSG00000021686-P,1
L-Valine,ENSMUSG00000029684-P,1
L-Valine,ENSMUSG00000022812-P,1
L-Valine,ENSMUSG00000091007-P,1
L-Valine,ENSMUSG00000052534-P,1
L-Valine,ENSMUSG00000034377-P,1
L-Valine,ENSMUSG00000022023-P,1
L-Valine,ENSMUSG00000037646-P,1
L-Valine,ENSMUSG00000043535-P,1
L-Valine,ENSMUSG00000051285-P,1
L-Valine,ENSMUSG00000051510-P,1
L-Valine,ENSMUSG00000045767-P,1
L-Valine,ENSMUSG00000025862-P,1
L-Valine,ENSMUSG00000062866-P,1
L-Valine,ENSMUSG00000041685-P,1
L-Valine,ENSMUSG00000031715-P,1
L-Valine,ENSMUSG00000021149-P,1
L-Valine,ENSMUSG00000031479-P,1
L-Valine,L-Serine,1
L-Valine,4-Hydroxybenzaldehyde,1
L-Valine,4-Hydroxybenzeneacetic acid,1
L-Valine,D-(+)-Glucosamine,1
L-Valine,Menthol,-1
ENSMUSG00000025979-P,Deoxyglucose,-1
Deoxyglucose,ENSMUSG00000023046-P,-1
Deoxyglucose,L-(-)-Sorbofuranose,-1
Vanillin,ENSMUSG00000094002-P,-1
Vanillin,ENSMUSG00000005580-P,-1
Vanillin,ENSMUSG00000037664-P,1
Vanillin,ENSMUSG00000106365-P,1
Vanillin,ENSMUSG00000072704-P,1
Vanillin,ENSMUSG00000032050-P,1
Vanillin,ENSMUSG00000060227-P,1
Vanillin,ENSMUSG00000024873-P,-1
Vanillin,ENSMUSG00000026096-P,1
Vanillin,ENSMUSG00000004263-P,1
Vanillin,ENSMUSG00000071369-P,1
Vanillin,ENSMUSG00000049090-P,1
Vanillin,ENSMUSG00000026315-P,1
Vanillin,ENSMUSG00000032348-P,1
Vanillin,Palmitelaidic acid,1
L-Hydroxyproline,Niacinamide,1
L-Hydroxyproline,Arabinose,-1
L-Hydroxyproline,Pyrrole-2-carboxylic acid,1
2-Hydroxy-5-methoxybenzaldehyde,Octadecyl octyl ether,1
2-Hydroxy-5-methoxybenzaldehyde,Propanedioic acid,1
ENSMUSG00000044224-P,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000042118-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000032301-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000021482-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000072704-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000048175-P,-1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000022023-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000043535-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000031922-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000040586-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000023931-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000018171-P,-1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000072763-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",ENSMUSG00000021149-P,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Serine,1
ENSMUSG00000030216-P,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
ENSMUSG00000030216-P,L-Aspartic acid,1
ENSMUSG00000030216-P,Methylsuccinic acid,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000035941-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000033411-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000022463-P,-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000022561-P,-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000021686-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000054364-P,-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000041720-P,-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000052534-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000034377-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000037646-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000043535-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000024083-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000018707-P,-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000051579-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",ENSMUSG00000031479-P,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",4-Hydroxybenzaldehyde,1
L-Aspartic acid,ENSMUSG00000035941-P,1
L-Aspartic acid,ENSMUSG00000033411-P,1
L-Aspartic acid,ENSMUSG00000055239-P,1
L-Aspartic acid,ENSMUSG00000041491-P,1
L-Aspartic acid,Isocitric acid lactone,-1
Methylsuccinic acid,ENSMUSG00000035941-P,1
Methylsuccinic acid,ENSMUSG00000020135-P,-1
Methylsuccinic acid,ENSMUSG00000029840-P,1
Methylsuccinic acid,ENSMUSG00000048776-P,1
Methylsuccinic acid,ENSMUSG00000026315-P,1
Methylsuccinic acid,Niacinamide,1
Methylsuccinic acid,17-alpha-Hydroxypregnenolone,-1
Methylsuccinic acid,"2,6-Di-O-methyl-d-galactopyranose",-1
Methylsuccinic acid,9H-Purin-6-ol,1
Methylsuccinic acid,Cyclohexanemethanol,-1
Methylsuccinic acid,D-(+)-Glucosamine,1
Methylsuccinic acid,Hydracrylic acid,1
Methylsuccinic acid,L-(-)-Sorbofuranose,1
Methylsuccinic acid,L-Glutamic acid,1
Methylsuccinic acid,N-Ethyldiethanolamine,1
Methylsuccinic acid,Pantothenic acid ,1
Methylsuccinic acid,Syringic acid,-1
ENSMUSG00000016495-P,2-Pyrrolidinone,1
ENSMUSG00000016495-P,Decyl oleate,1
ENSMUSG00000016495-P,DL-Phenylalanine,1
ENSMUSG00000016495-P,"Gluconolactone (3R,4S,5R,6R)",1
ENSMUSG00000016495-P,L-Isoleucine,1
2-Pyrrolidinone,ENSMUSG00000021377-P,1
2-Pyrrolidinone,ENSMUSG00000037664-P,1
2-Pyrrolidinone,ENSMUSG00000043241-P,1
2-Pyrrolidinone,ENSMUSG00000004263-P,1
Decyl oleate,ENSMUSG00000014195-P,-1
Decyl oleate,ENSMUSG00000005131-P,1
Decyl oleate,ENSMUSG00000038084-P,1
Decyl oleate,ENSMUSG00000042686-P,1
DL-Phenylalanine,ENSMUSG00000022781-P,1
DL-Phenylalanine,ENSMUSG00000024081-P,1
DL-Phenylalanine,ENSMUSG00000035941-P,1
DL-Phenylalanine,ENSMUSG00000033411-P,1
DL-Phenylalanine,ENSMUSG00000062044-P,-1
DL-Phenylalanine,ENSMUSG00000041134-P,1
DL-Phenylalanine,ENSMUSG00000037664-P,1
DL-Phenylalanine,ENSMUSG00000021686-P,1
DL-Phenylalanine,ENSMUSG00000054364-P,-1
DL-Phenylalanine,ENSMUSG00000029840-P,1
DL-Phenylalanine,ENSMUSG00000041720-P,-1
DL-Phenylalanine,ENSMUSG00000052534-P,1
DL-Phenylalanine,ENSMUSG00000034377-P,1
DL-Phenylalanine,ENSMUSG00000022023-P,1
DL-Phenylalanine,ENSMUSG00000037646-P,1
DL-Phenylalanine,ENSMUSG00000043535-P,1
DL-Phenylalanine,ENSMUSG00000031198-P,1
DL-Phenylalanine,ENSMUSG00000025862-P,1
DL-Phenylalanine,ENSMUSG00000062866-P,1
DL-Phenylalanine,ENSMUSG00000031715-P,1
DL-Phenylalanine,ENSMUSG00000042699-P,1
DL-Phenylalanine,4-Hydroxybenzaldehyde,1
DL-Phenylalanine,L-Isoleucine,1
DL-Phenylalanine,Phenylalanine,1
DL-Phenylalanine,Uracil,1
"Gluconolactone (3R,4S,5R,6R)",ENSMUSG00000005580-P,-1
"Gluconolactone (3R,4S,5R,6R)",ENSMUSG00000015839-P,1
"Gluconolactone (3R,4S,5R,6R)",ENSMUSG00000014075-P,1
"Gluconolactone (3R,4S,5R,6R)",ENSMUSG00000106365-P,1
"Gluconolactone (3R,4S,5R,6R)",ENSMUSG00000072704-P,1
"Gluconolactone (3R,4S,5R,6R)",ENSMUSG00000027523-P,1
"Gluconolactone (3R,4S,5R,6R)",ENSMUSG00000085776-P,1
"Gluconolactone (3R,4S,5R,6R)",Syringaldehyde,1
L-Isoleucine,ENSMUSG00000039253-P,1
L-Isoleucine,ENSMUSG00000033411-P,1
L-Isoleucine,ENSMUSG00000028273-P,1
L-Isoleucine,ENSMUSG00000062044-P,-1
L-Isoleucine,ENSMUSG00000041134-P,1
